time_us,sda,scl,note
1162.50,0,0,
1167.50,1,0,
1167.50,1,1,
1172.50,1,0,
1175.00,1,0,
1180.00,0,0,
1180.00,0,1,
1190.00,1,1,
1195.00,1,1,
1200.00,0,1,
1200.00,0,0,
1202.50,1,0,
1202.50,1,1,
1207.50,1,0,
1212.50,0,0,
1212.50,0,1,
1217.50,0,0,
1222.50,1,0,
1222.50,1,1,
1227.50,1,0,
1232.50,0,0,
1232.50,0,1,
1237.50,0,0,
1242.50,0,0,
1242.50,0,1,
1247.50,0,0,
1252.50,0,0,
1252.50,0,1,
1257.50,0,0,
1262.50,0,0,
1262.50,0,1,
1267.50,0,0,
1272.50,0,0,
1272.50,0,1,
1277.50,0,0,
1282.50,1,0,
1282.50,1,1,
1287.50,1,0,
1290.00,1,0,
1295.00,0,0,
1295.00,0,1,
1305.00,1,1,
1310.00,1,1,
1315.00,0,1,
1315.00,0,0,
1317.50,1,0,
1317.50,1,1,
1322.50,1,0,
1327.50,0,0,
1327.50,0,1,
1332.50,0,0,
1337.50,1,0,
1337.50,1,1,
1342.50,1,0,
1347.50,0,0,
1347.50,0,1,
1352.50,0,0,
1357.50,0,0,
1357.50,0,1,
1362.50,0,0,
1367.50,0,0,
1367.50,0,1,
1372.50,0,0,
1377.50,0,0,
1377.50,0,1,
1382.50,0,0,
1387.50,0,0,
1387.50,0,1,
1392.50,0,0,
1397.50,1,0,
1397.50,1,1,
1402.50,1,0,
1405.00,1,0,
1410.00,0,0,
1410.00,0,1,
1420.00,1,1,
1425.00,1,1,
1430.00,0,1,
1430.00,0,0,
1432.50,1,0,
1432.50,1,1,
1437.50,1,0,
1442.50,0,0,
1442.50,0,1,
1447.50,0,0,
1452.50,1,0,
1452.50,1,1,
1457.50,1,0,
1462.50,0,0,
1462.50,0,1,
1467.50,0,0,
1472.50,0,0,
1472.50,0,1,
1477.50,0,0,
1482.50,0,0,
1482.50,0,1,
1487.50,0,0,
1492.50,0,0,
1492.50,0,1,
1497.50,0,0,
1502.50,0,0,
1502.50,0,1,
1507.50,0,0,
1512.50,1,0,
1512.50,1,1,
1517.50,1,0,
1520.00,1,0,
1525.00,0,0,
1525.00,0,1,
1535.00,1,1,
1540.00,1,1,
1545.00,0,1,
1545.00,0,0,
1547.50,1,0,
1547.50,1,1,
1552.50,1,0,
1557.50,0,0,
1557.50,0,1,
1562.50,0,0,
1567.50,1,0,
1567.50,1,1,
1572.50,1,0,
1577.50,0,0,
1577.50,0,1,
1582.50,0,0,
1587.50,0,0,
1587.50,0,1,
1592.50,0,0,
1597.50,0,0,
1597.50,0,1,
1602.50,0,0,
1607.50,0,0,
1607.50,0,1,
1612.50,0,0,
1617.50,0,0,
1617.50,0,1,
1622.50,0,0,
1627.50,1,0,
1627.50,1,1,
1632.50,1,0,
1635.00,1,0,
1640.00,0,0,
1640.00,0,1,
1650.00,1,1,
1655.00,1,1,
1660.00,0,1,
1660.00,0,0,
1662.50,1,0,
1662.50,1,1,
1667.50,1,0,
1672.50,0,0,
1672.50,0,1,
1677.50,0,0,
1682.50,1,0,
1682.50,1,1,
1687.50,1,0,
1692.50,0,0,
1692.50,0,1,
1697.50,0,0,
1702.50,0,0,
1702.50,0,1,
1707.50,0,0,
1712.50,0,0,
1712.50,0,1,
1717.50,0,0,
1722.50,0,0,
1722.50,0,1,
1727.50,0,0,
1732.50,0,0,
1732.50,0,1,
1737.50,0,0,
1742.50,1,0,
1742.50,1,1,
1747.50,1,0,
1750.00,1,0,
1755.00,0,0,
1755.00,0,1,
1765.00,1,1,
1770.00,1,1,
1775.00,0,1,
1775.00,0,0,
1777.50,1,0,
1777.50,1,1,
